Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,
1,SC Ganguly,8-Jul-72,Left_Hand,Right-arm medium,India,0,
2,BB McCullum,27-Sep-81,Right_Hand,Right-arm medium,New Zealand,0,
3,RT Ponting,19-Dec-74,Right_Hand,Right-arm medium,Australia,0,
4,DJ Hussey,15-Jul-77,Right_Hand,Right-arm offbreak,Australia,0,
5,Mohammad Hafeez,17-Oct-80,Right_Hand,Right-arm offbreak,Pakistan,0,
6,R Dravid,11-Jan-73,Right_Hand,Right-arm offbreak,India,0,
7,W Jaffer,16-Feb-78,Right_Hand,Right-arm offbreak,India,0,
8,V Kohli,5-Nov-88,Right_Hand,Right-arm medium,India,0,
9,JH Kallis,16-Oct-75,Right_Hand,Right-arm fast-medium,South Africa,0,
10,CL White,18-Aug-83,Right_Hand,Legbreak googly,Australia,0,
11,MV Boucher,3-Dec-76,Right_Hand,Right-arm medium,South Africa,0,
12,B Akhil,7-Oct-77,Right_Hand,Right-arm medium-fast,India,0,
13,AA Noffke,30-Apr-77,Right_Hand,Right-arm fast-medium,Australia,0,
14,P Kumar,2-Oct-86,Right_Hand,Right-arm medium,India,0,
15,Z Khan,7-Oct-78,Right_Hand,Left-arm fast-medium,India,0,
16,SB Joshi,6-Jun-70,Left_Hand,Slow left-arm orthodox,India,0,
17,PA Patel,9-Mar-85,Left_Hand,NULL,India,0,
18,ML Hayden,29-Oct-71,Left_Hand,Right-arm medium,Australia,0,
19,MEK Hussey,27-May-75,Left_Hand,Right-arm medium,Australia,0,
20,MS Dhoni,7-Jul-81,Right_Hand,Right-arm medium,India,0,
21,SK Raina,27-Nov-86,Left_Hand,Right-arm offbreak,India,0,
22,JDP Oram,28-Jul-78,Left_Hand,Right-arm fast-medium,New Zealand,0,
23,S Badrinath,30-Aug-80,Right_Hand,Right-arm offbreak,India,0,
24,K Goel,24-Dec-86,Left_Hand,Right-arm offbreak,India,0,
25,JR Hopes,24-Oct-78,Right_Hand,Right-arm medium,Australia,0,
26,KC Sangakkara,27-Oct-77,Left_Hand,Right-arm offbreak,Sri Lanka,0,
27,Yuvraj Singh,12-Dec-81,Left_Hand,Slow left-arm orthodox,India,0,
28,SM Katich,21-Aug-75,Left_Hand,Slow left-arm chinaman,Australia,0,
29,IK Pathan,27-Oct-84,Left_Hand,Left-arm medium-fast,India,0,
30,T Kohli,17-Dec-88,Right_Hand,Right-arm medium,India,0,
31,YK Pathan,17-Nov-82,Right_Hand,Right-arm offbreak,India,0,
32,SR Watson,17-Jun-81,Right_Hand,Right-arm fast-medium,Australia,0,
33,M Kaif,1-Dec-80,Right_Hand,Right-arm offbreak,India,0,
