Match_Date,Team_Name,Opponent_Team,Match_Winner,Win_Type,Won_By
18-Apr-09,Chennai Super Kings,Mumbai Indians,Mumbai Indians,by runs,19.0
18-Apr-09,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,by runs,75.0
19-Apr-09,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,by wickets,10.0
19-Apr-09,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,by wickets,8.0
20-Apr-09,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,by runs,92.0
21-Apr-09,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,by runs,11.0
22-Apr-09,Royal Challengers Bangalore,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by runs,24.0
23-Apr-09,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,by runs,9.0
23-Apr-09,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Tie,
24-Apr-09,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,by wickets,7.0
25-Apr-09,Kochi Tuskers Kerala,Mumbai Indians,Kochi Tuskers Kerala,by runs,12.0
26-Apr-09,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,by wickets,6.0
26-Apr-09,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,by runs,27.0
27-Apr-09,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,by wickets,6.0
27-Apr-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,by runs,92.0
28-Apr-09,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,by wickets,5.0
29-Apr-09,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,by wickets,5.0
29-Apr-09,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,by runs,3.0
30-Apr-09,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,by wickets,6.0
30-Apr-09,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by runs,38.0
1-May-09,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,by runs,9.0
1-May-09,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,by runs,8.0
2-May-09,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,by wickets,3.0
2-May-09,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,by runs,18.0
3-May-09,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,by wickets,6.0
3-May-09,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,by wickets,9.0
4-May-09,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,by runs,78.0
5-May-09,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,by runs,78.0
5-May-09,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,by wickets,9.0
6-May-09,Kochi Tuskers Kerala,Mumbai Indians,Kochi Tuskers Kerala,by runs,19.0
7-May-09,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,by wickets,7.0
7-May-09,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,by runs,12.0
8-May-09,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,by wickets,7.0
9-May-09,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,by wickets,3.0
9-May-09,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,by wickets,7.0
10-May-09,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,by runs,16.0
10-May-09,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,by wickets,7.0
11-May-09,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,by runs,53.0
12-May-09,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,by wickets,6.0
12-May-09,Kings XI Punjab,Mumbai Indians,Mumbai Indians,by wickets,8.0
13-May-09,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,by runs,12.0
14-May-09,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,by wickets,2.0
14-May-09,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,by runs,2.0
15-May-09,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,by wickets,6.0
16-May-09,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,by wickets,7.0
16-May-09,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,by wickets,6.0
17-May-09,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,by runs,1.0
17-May-09,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,by runs,14.0
18-May-09,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,by wickets,7.0
19-May-09,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,by wickets,7.0
20-May-09,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,by wickets,4.0
20-May-09,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,by runs,24.0
